anio,pais_id,pais_nombre,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas
2017,200,ARG,25,Delitos contra los poderes públicos y el orden constitucional,637,
2017,200,ARG,26,Delitos contra la administración pública,42865,
2017,200,ARG,27,Delitos contra la fe pública,9326,
2017,200,ARG,28_1,Siembra y producción de estupefacientes,273,
2017,200,ARG,28_2,Comercialización y entrega de estupefacientes,4513,
2017,200,ARG,28_3,Tenencia o entrega atenuada de estupefacientes,263,
2017,200,ARG,28_4,Desvío de Importación de estupefacientes,45,
2017,200,ARG,28_5,Organización y financiación de estupefacientes,97,
2017,200,ARG,28_6,Tenencia simple de estupefacientes,7965,
2017,200,ARG,28_7,Tenencia simple atenuada para uso personal de estupefacientes,21530,
2017,200,ARG,28_8,Confabulación de estupefacientes,86,
2017,200,ARG,28_9,Contrabando de estupefacientes,1315,
2017,200,ARG,28_10,Otros delitos previstos en la ley 23.737,11271,
2017,200,ARG,29_1,Ley de residuos peligrosos,132,
2017,200,ARG,29_2,Ley de fauna,757,
2017,200,ARG,29_3,Delitos migratorios,218,
2017,200,ARG,29_4,Obstrucción del código aduanero,487,
2017,200,ARG,29_5,Contrabando Simple,6825,
2017,200,ARG,29_6,Contrabando Agravado,302,
2017,200,ARG,29_7,Contrabando de elementos nucleares agresivos químicos armas y municiones,6,
2017,200,ARG,29_8,Otros delitos previstos en leyes especiales,29685,
2017,200,ARG,30,Contravenciones,161897,
2017,200,ARG,31,Suicidios (consumados),3279,3284
2017,200,ARG,32,Delitos contra el orden económico y financiero,783,
2018,200,ARG,1,Homicidios dolosos,2285,2387
2018,200,ARG,2,Homicidios dolosos en grado de tentativa,1462,1598
2018,200,ARG,3,Muertes en Accidentes Viales,4294,4803
2018,200,ARG,4,Homicidios culposos por otros hechos,429,459
2018,200,ARG,5,Lesiones dolosas,135973,142539
2018,200,ARG,6,Lesiones culposas en Accidentes Viales,95718,111890
2018,200,ARG,7,Lesiones culposas por otros hechos,6696,6988
2018,200,ARG,8,Otros delitos contra las personas,59453,61208
2018,200,ARG,9,Delitos contra el honor,560,568
2018,200,ARG,10,Violaciones,4141,4266
2018,200,ARG,11,Otros delitos contra la integridad sexual,12156,12729
2018,200,ARG,12,Delitos contra el estado civil,181,
2018,200,ARG,13,Amenazas,174612,
2018,200,ARG,14_1,Trata de personas simple,192,241
2018,200,ARG,14_2,Trata de personas agravado,24,31
2018,200,ARG,14_3,Otros delitos contra la libertad,10830,11537
2018,200,ARG,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),416329,
2018,200,ARG,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),29850,
2018,200,ARG,17,Robos agravados por el resultado de lesiones y/o muertes ,8916,
2018,200,ARG,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1310,
2018,200,ARG,19,Hurtos,277292,
2018,200,ARG,20,Tentativas de hurto,11832,
2018,200,ARG,21,Otros delitos contra la propiedad,107648,
2018,200,ARG,22_1,Fabricación adquisición transferencia y tenencia de explosivos y otros materiales peligrosos,152,
2018,200,ARG,22_2,Tenencia ilegal de armas de fuego,3003,
2018,200,ARG,22_3,Portación ilegal de armas de fuego,1844,
2018,200,ARG,22_4,Acopio y fabricación ilegal de armas piezas y municiones,47,
2018,200,ARG,22_5,Entrega y comercialización ilegal de armas de fuego,2,
2018,200,ARG,22_6,Omisión adulteración y supresión de marcaje,187,
2018,200,ARG,22_7,Otros delitos contra la seguridad pública,25547,
2018,200,ARG,23,Delitos contra el orden público,7291,
2018,200,ARG,24,Delitos contra la seguridad de la nación,89,
2018,200,ARG,25,Delitos contra los poderes públicos y el orden constitucional,931,
2018,200,ARG,26,Delitos contra la administración pública,40380,
2018,200,ARG,27,Delitos contra la fe pública,8837,
2018,200,ARG,28_1,Siembra y producción de estupefacientes,222,
2018,200,ARG,28_2,Comercialización y entrega de estupefacientes,5946,
2018,200,ARG,28_3,Tenencia o entrega atenuada de estupefacientes,643,
2018,200,ARG,28_4,Desvío de Importación de estupefacientes,20,
2018,200,ARG,28_5,Organización y financiación de estupefacientes,173,
2018,200,ARG,28_6,Tenencia simple de estupefacientes,8110,
2018,200,ARG,28_7,Tenencia simple atenuada para uso personal de estupefacientes,28688,
2018,200,ARG,28_8,Confabulación de estupefacientes,123,
2018,200,ARG,28_9,Contrabando de estupefacientes,899,
2018,200,ARG,28_10,Otros delitos previstos en la ley 23.737,16674,
2018,200,ARG,29_1,Ley de residuos peligrosos,67,
2018,200,ARG,29_2,Ley de fauna,742,
2018,200,ARG,29_3,Delitos migratorios,604,
2018,200,ARG,29_4,Obstrucción del código aduanero,333,
2018,200,ARG,29_5,Contrabando Simple,5295,
2018,200,ARG,29_6,Contrabando Agravado,170,
2018,200,ARG,29_7,Contrabando de elementos nucleares agresivos químicos armas y municiones,6,
2018,200,ARG,29_8,Otros delitos previstos en leyes especiales,32436,
2018,200,ARG,30,Contravenciones,178813,
2018,200,ARG,31,Suicidios (consumados),3788,3788
2018,200,ARG,32,Delitos contra el orden económico y financiero,289,
2019,200,ARG,1,Homicidios dolosos,2238,2307
2019,200,ARG,2,Homicidios dolosos en grado de tentativa,1513,1665
2019,200,ARG,3,Muertes en Accidentes Viales,3671,4189
2019,200,ARG,4,Homicidios culposos por otros hechos,412,465
2019,200,ARG,5,Lesiones dolosas,143697,153293
2019,200,ARG,6,Lesiones culposas en Accidentes Viales,93549,108019
2019,200,ARG,7,Lesiones culposas por otros hechos,9077,9715
2019,200,ARG,8,Otros delitos contra las personas,53484,55170
2019,200,ARG,9,Delitos contra el honor,693,716
2019,200,ARG,10,Violaciones,5461,5544
2019,200,ARG,11,Otros delitos contra la integridad sexual,15915,16618
2019,200,ARG,12,Delitos contra el estado civil,233,
2019,200,ARG,13,Amenazas,184012,
2019,200,ARG,14_1,Trata de personas simple,133,181
2019,200,ARG,14_2,Trata de personas agravado,18,24
2019,200,ARG,14_3,Otros delitos contra la libertad,12375,13282
2019,200,ARG,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),471801,
2019,200,ARG,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),28499,
